Year,Bank,KeywordIndex,TotalResults
2025,Bank of Baroda Ltd,Kw1,4350
2025,Bank of Baroda Ltd,Kw2,353
2025,Bank of Baroda Ltd,Kw3,4
2025,Bank of Baroda Ltd,Kw4,1
2025,Bank of Baroda Ltd,Kw5,5
2025,Bank of Baroda Ltd,Kw6,459
2025,Bank of Baroda Ltd,Kw7,2
2025,Bank of Baroda Ltd,Kw8,0
2025,Bank of Baroda Ltd,Kw9,5
2025,Bank of Baroda Ltd,Kw10,4
2025,Bank of Baroda Ltd,Kw11,3
2025,Bank of Baroda Ltd,Kw12,18
2025,Bank of Baroda Ltd,Kw13,3
2025,Kotak Mahindra Bank Ltd,Kw1,2260
2025,Kotak Mahindra Bank Ltd,Kw2,177
2025,Kotak Mahindra Bank Ltd,Kw3,9
2025,Kotak Mahindra Bank Ltd,Kw4,20
2025,Kotak Mahindra Bank Ltd,Kw5,25
2025,Kotak Mahindra Bank Ltd,Kw6,7
2025,Kotak Mahindra Bank Ltd,Kw7,3
2025,Kotak Mahindra Bank Ltd,Kw8,2
2025,Kotak Mahindra Bank Ltd,Kw9,7
2025,Kotak Mahindra Bank Ltd,Kw10,7
2025,Kotak Mahindra Bank Ltd,Kw11,5
2025,Kotak Mahindra Bank Ltd,Kw12,71
2025,Kotak Mahindra Bank Ltd,Kw13,78
2025,State Bank of India,Kw1,244
2025,State Bank of India,Kw2,104
2025,State Bank of India,Kw3,21
2025,State Bank of India,Kw4,33
2025,State Bank of India,Kw5,797
2025,State Bank of India,Kw6,73
2025,State Bank of India,Kw7,14
2025,State Bank of India,Kw8,0
2025,State Bank of India,Kw9,55
2025,State Bank of India,Kw10,249
2025,State Bank of India,Kw11,231
2025,State Bank of India,Kw12,109
2025,State Bank of India,Kw13,24
2025,Indian Overseas Bank,Kw1,0
2025,Indian Overseas Bank,Kw2,2
2025,Indian Overseas Bank,Kw3,0
2025,Indian Overseas Bank,Kw4,0
2025,Indian Overseas Bank,Kw5,0
2025,Indian Overseas Bank,Kw6,0
2025,Indian Overseas Bank,Kw7,0
2025,Indian Overseas Bank,Kw8,0
2025,Indian Overseas Bank,Kw9,0
2025,Indian Overseas Bank,Kw10,0
2025,Indian Overseas Bank,Kw11,1
2025,Indian Overseas Bank,Kw12,3
2025,Indian Overseas Bank,Kw13,0
2025,ICICI Bank Ltd,Kw1,0
2025,ICICI Bank Ltd,Kw2,0
2025,ICICI Bank Ltd,Kw3,0
2025,ICICI Bank Ltd,Kw4,0
2025,ICICI Bank Ltd,Kw5,0
2025,ICICI Bank Ltd,Kw6,0
2025,ICICI Bank Ltd,Kw7,0
2025,ICICI Bank Ltd,Kw8,0
2025,ICICI Bank Ltd,Kw9,0
2025,ICICI Bank Ltd,Kw10,0
2025,ICICI Bank Ltd,Kw11,0
2025,ICICI Bank Ltd,Kw12,0
2025,ICICI Bank Ltd,Kw13,0
2025,Indusind Bank Ltd,Kw1,6
2025,Indusind Bank Ltd,Kw2,137
2025,Indusind Bank Ltd,Kw3,43
2025,Indusind Bank Ltd,Kw4,0
2025,Indusind Bank Ltd,Kw5,3
2025,Indusind Bank Ltd,Kw6,4
2025,Indusind Bank Ltd,Kw7,1
2025,Indusind Bank Ltd,Kw8,0
2025,Indusind Bank Ltd,Kw9,3
2025,Indusind Bank Ltd,Kw10,6
2025,Indusind Bank Ltd,Kw11,1
2025,Indusind Bank Ltd,Kw12,80
2025,Indusind Bank Ltd,Kw13,4
2025,China Merchants Bank Co Ltd,Kw1,0
2025,China Merchants Bank Co Ltd,Kw2,0
